Wall time,Step,Value
1759875970.9759588,14895,54.0
1759876002.048986,14935,54.0
1759876017.5692742,14955,54.0
1759876033.432416,14975,54.0
1759876064.5203261,15015,54.0
1759876079.935556,15035,54.0
1759876095.4734428,15055,54.0
1759876111.1605551,15075,54.0
1759876126.665579,15095,54.0
1759876142.214761,15115,54.0
1759876157.6011963,15135,54.0
1759876188.567371,15175,54.0
1759876204.0287647,15195,54.0
1759876219.6405635,15215,54.0
1759876296.9422808,15315,54.07143020629883
1759876312.482591,15335,54.07143020629883
1759876328.0124276,15355,54.07143020629883
1759876358.926594,15395,54.07143020629883
1759876374.4722755,15415,54.13333511352539
1759876389.8783367,15435,54.13333511352539
1759876405.4083407,15455,54.13333511352539
1759876644.7851956,15650,55.0
1759876692.9549906,15710,55.0
1759876708.671798,15730,55.0
1759876740.178967,15770,55.0
1759876818.5569758,15870,55.0
1759876834.357974,15890,55.0
1759876850.1269348,15910,55.0
1759876881.6176932,15950,55.0
1759876897.3383703,15970,55.0
1759876912.963534,15990,55.0
1759876928.735786,16010,55.0
1759876944.3881242,16030,55.0
1759876960.1926668,16050,55.0
1759876976.0077138,16070,55.0
1759877007.5270367,16110,55.16666793823242
1759877023.1163297,16130,55.16666793823242
1759877054.3281302,16170,55.16666793823242
1759877069.9762158,16190,55.16666793823242
1759877085.7678487,16210,55.28571319580078
1759877101.2845309,16230,55.28571319580078
1759877117.1253102,16250,55.28571319580078
1759877132.867131,16270,55.28571319580078
1759877179.9419034,16330,55.375
1759877211.4165363,16370,55.375
1759877227.1354353,16390,55.375
1759877258.57005,16430,55.44444274902344
1759877289.8742008,16470,55.44444274902344
1759877321.0281992,16510,55.5
1759877336.6177485,16530,55.5
1759877352.3621914,16550,55.5
1759877383.7742603,16590,55.5
1759877399.5133135,16610,55.54545593261719
1759877461.7515142,16690,55.54545593261719
1759877477.264362,16710,55.58333206176758
1759877492.725134,16730,55.58333206176758
1759877508.1386726,16750,55.58333206176758
1759877554.8790758,16810,55.61538314819336
1759877601.3519256,16870,55.61538314819336
1759877678.9829767,16970,55.64285659790039
1759877694.5013268,16990,55.64285659790039
1759877725.6868734,17030,55.66666793823242
1759877741.0575185,17050,55.66666793823242
1759877756.5829914,17070,55.66666793823242
1759877950.01381,17205,56.0
1759877965.8142374,17225,56.0
1759877981.7322364,17245,56.0
1759877997.6861153,17265,56.0
1759878060.7250664,17345,56.0
1759878076.620424,17365,56.0
1759878107.9251099,17405,56.0
1759878123.6516027,17425,56.0
1759878139.3078005,17445,56.0
1759878170.763887,17485,56.0
1759878186.745915,17505,56.0
1759878217.8426263,17545,56.0
1759878233.5811496,17565,56.0
1759878265.3207095,17605,56.0
1759878343.6989205,17705,56.0
1759878359.2466443,17725,56.0
1759878406.363532,17785,56.0
1759878437.3444939,17825,56.0
1759878453.0950384,17845,56.0
1759878499.6022623,17905,56.0
1759878514.9935312,17925,56.0
1759878530.676515,17945,56.0
1759878577.5382159,18005,56.0
1759878593.174953,18025,56.0
1759878655.8991597,18105,56.0
1759878671.2500224,18125,56.0
1759878826.995774,18325,56.0
1759878857.9624588,18365,56.0
1759878873.3956132,18385,56.0
1759878889.129208,18405,56.0
1759878904.6432984,18425,56.0
1759878920.116102,18445,56.0
1759878935.6637578,18465,56.0
1759878967.0727608,18505,56.0
1759878997.9824376,18545,56.0
1759879044.8757963,18605,56.0
1759879075.6382964,18645,56.0
1759879207.0994468,18700,56.0
1759879254.6344476,18760,56.0
1759879270.564558,18780,56.0
1759879302.7718797,18820,56.0
1759879334.360562,18860,56.0
1759879350.5108743,18880,56.0
1759879366.6389635,18900,56.0
1759879397.9213698,18940,56.0
1759879414.0364122,18960,56.0
1759879445.8689017,19000,56.0
1759879461.3360715,19020,56.0
1759879493.6113486,19060,56.0
1759879525.8393402,19100,56.0
1759879541.4743996,19120,56.0
1759879557.2525976,19140,56.0
1759879572.9246995,19160,56.0
1759879604.6405149,19200,56.0
1759879667.3657193,19280,56.0
1759879683.3392618,19300,56.0
1759879698.8460743,19320,56.0
1759879714.5971076,19340,56.0
1759879730.3602548,19360,56.0
1759879746.10677,19380,56.0
1759879762.0057695,19400,56.0
1759879777.3157074,19420,56.0
1759879792.9298797,19440,56.0
1759879855.8568661,19520,56.0
1759879887.1325448,19560,56.0
1759879902.9788253,19580,56.0
1759879950.3760812,19640,56.0
1759880013.2062876,19720,56.0
1759880028.7984624,19740,56.0
1759880060.1984143,19780,56.0
1759880091.5732667,19820,56.0
1759880107.1623828,19840,56.0
1759880122.665063,19860,56.0
1759880169.4885077,19920,56.07692337036133
1759880184.9966018,19940,56.07692337036133
1759880200.8470566,19960,56.07692337036133
1759880216.7662766,19980,56.07692337036133
1759880233.0866227,20000,56.14285659790039
1759880248.7507703,20020,56.14285659790039
1759880264.5773885,20040,56.14285659790039
1759880296.4107316,20080,56.14285659790039
1759880312.4376612,20100,56.20000076293945
1759880359.714394,20160,56.20000076293945
1759880603.269029,20355,57.0
1759880636.142709,20395,57.0
1759880652.2372637,20415,57.0
1759880684.4111896,20455,57.0
1759880700.6857824,20475,57.0
1759880716.8978384,20495,57.0
1759880764.9429982,20555,57.0
1759880781.1336613,20575,57.0
1759880797.424499,20595,57.0
1759880813.5721328,20615,57.0
1759880829.5237188,20635,57.0
1759880861.8935232,20675,57.0
1759880894.2091453,20715,57.0
1759880910.2424293,20735,57.0
1759880926.34294,20755,57.0
1759880958.3254926,20795,57.0
1759880974.2379525,20815,57.0
1759881005.862553,20855,57.0
1759881021.7225542,20875,57.0
1759881037.7275338,20895,57.0
1759881053.5878892,20915,57.0
1759881069.4574096,20935,57.0
1759881085.3787448,20955,57.0
1759881165.1099253,21055,57.0
1759881197.1793766,21095,57.0
1759881229.1338565,21135,57.0
1759881245.1651077,21155,57.0
1759881261.0073326,21175,57.0
1759881340.8368177,21275,57.0
1759881404.6604342,21355,57.0
1759881436.6013157,21395,57.0
1759881452.640262,21415,57.0
1759881547.7506897,21535,57.0
1759881563.6568809,21555,57.0
1759881579.5732486,21575,57.0
1759881595.470682,21595,57.0
1759881611.2499614,21615,57.0
1759881675.0283546,21695,57.0
1759881706.6999006,21735,57.0
1759881722.391773,21755,57.0
1759881888.1855967,21850,57.0
1759881936.1822603,21910,57.0
1759881952.239202,21930,57.0
1759882000.3522842,21990,57.0
1759882032.0888498,22030,57.0
1759882047.7365108,22050,57.0
1759882063.4694107,22070,57.0
1759882095.2920513,22110,57.0
1759882142.3903716,22170,57.0
1759882158.1542003,22190,57.0
1759882174.0224807,22210,57.0
1759882205.3002174,22250,57.0
1759882221.018375,22270,57.0
1759882236.626317,22290,57.0
1759882252.4850783,22310,57.0
1759882268.1145113,22330,57.0
1759882283.7988315,22350,57.0
1759882331.1012137,22410,57.0
1759882346.7614734,22430,57.0
1759882378.074646,22470,57.0
